customer_id,age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_credit_lines,existing_debt,num_dependents,employment_type,education,property_ownership,loan_purpose,default
CUST00068,36,50661,180185,36,675.0,1.7,13.0,56682,0,Self-Employed,Graduate,Rent,Business,0
CUST00069,29,119802,298307,24,601.0,0.5,7.0,142885,2,Business,Post-Graduate,Mortgage,Business,0
CUST00070,35,72904,134715,36,576.0,1.2,,9683,2,Salaried,Graduate,Own,Home,0
CUST00071,44,67059,59997,36,624.0,6.7,7.0,64370,4,Salaried,Graduate,Rent,Car,0
CUST00072,61,70903,270401,36,599.0,1.4,3.0,24778,4,Salaried,Graduate,Rent,Personal,1
CUST00073,42,39608,93307,48,660.0,8.9,4.0,26820,2,Business,Under-Graduate,Own,Personal,0
CUST00074,37,61520,91680,24,778.0,2.6,,48581,2,Self-Employed,Under-Graduate,Rent,Business,0
CUST00075,39,55050,95002,48,672.0,2.7,8.0,2257,1,Self-Employed,Under-Graduate,Rent,Car,0
CUST00076,45,91181,131979,48,767.0,10.1,12.0,40968,4,Salaried,Post-Graduate,Own,Personal,0
CUST00077,47,52826,137682,48,650.0,1.2,12.0,63188,4,Salaried,Under-Graduate,Mortgage,Car,1
CUST00078,46,47434,178108,36,636.0,1.1,4.0,59934,3,Salaried,Graduate,Mortgage,Personal,0
CUST00079,62,31704,110914,60,528.0,21.1,11.0,15693,2,Salaried,Under-Graduate,Mortgage,Home,1
CUST00080,50,57800,122035,36,701.0,3.9,5.0,38303,5,Salaried,Under-Graduate,Own,Personal,0
CUST00081,36,60859,206479,24,597.0,1.1,5.0,75878,3,Salaried,Post-Graduate,Mortgage,Home,0
CUST00082,22,30968,61343,48,581.0,0.9,1.0,9327,2,Salaried,Post-Graduate,Own,Personal,0
CUST00083,46,64063,88603,24,568.0,9.9,14.0,70242,5,Self-Employed,Graduate,Mortgage,Personal,0
CUST00084,28,59663,235188,48,678.0,4.6,1.0,36453,5,Salaried,Under-Graduate,Own,Car,0
CUST00085,30,75268,117689,24,603.0,0.6,7.0,111446,4,Business,Post-Graduate,Rent,Education,0
CUST00086,45,79247,129413,12,781.0,10.9,12.0,71534,1,Freelancer,Under-Graduate,Rent,Home,0
CUST00087,22,56885,225487,24,739.0,2.9,12.0,12634,5,Freelancer,Graduate,Rent,Education,0
CUST00088,29,34272,33200,36,607.0,22.7,12.0,8835,2,Salaried,Graduate,Own,Home,0
CUST00089,45,38387,121374,24,460.0,1.7,1.0,1572,2,Salaried,Post-Graduate,Own,Car,0
CUST00090,32,90242,340694,24,659.0,3.8,13.0,96761,2,Salaried,Under-Graduate,Rent,Home,0
CUST00091,38,58309,133602,48,625.0,1.0,9.0,38775,3,Self-Employed,Graduate,Mortgage,Education,0
CUST00092,29,89923,45755,48,721.0,2.9,6.0,1479,3,Salaried,Graduate,Rent,Business,0
CUST00093,56,64972,117775,48,651.0,1.0,13.0,9884,2,Self-Employed,Under-Graduate,Own,Home,0
CUST00094,56,70074,62400,48,742.0,1.8,1.0,30421,1,Salaried,Graduate,Own,Business,0
CUST00095,54,73774,144350,36,689.0,1.6,13.0,46933,0,Self-Employed,Graduate,Own,Home,0
CUST00096,26,30537,99706,60,547.0,1.7,1.0,42986,0,Self-Employed,Post-Graduate,Mortgage,Home,1
CUST00097,63,61139,124447,36,590.0,17.5,5.0,49641,4,Salaried,Under-Graduate,Own,Education,0
CUST00098,60,30260,60875,36,613.0,0.2,11.0,40589,3,Business,Post-Graduate,Rent,Home,0
CUST00099,62,49301,120726,48,636.0,3.4,3.0,18527,1,Salaried,Graduate,Rent,Education,0
CUST00100,49,67803,171942,24,628.0,5.0,8.0,33789,4,Freelancer,Under-Graduate,Mortgage,Home,0
CUST00101,28,34493,120623,48,707.0,5.4,8.0,45572,2,Self-Employed,Post-Graduate,Rent,Car,0
CUST00102,30,66186,104523,36,690.0,7.0,10.0,48781,2,Salaried,Graduate,Rent,Personal,0
CUST00103,29,25032,84504,24,616.0,7.2,8.0,22159,4,Salaried,Under-Graduate,Rent,Business,1
CUST00104,33,77866,193167,24,703.0,15.6,6.0,67063,2,Self-Employed,Post-Graduate,Mortgage,Car,0
CUST00105,55,41711,64729,24,556.0,7.0,5.0,40378,1,Salaried,Graduate,Mortgage,Car,0
CUST00106,54,34457,52820,60,705.0,8.7,5.0,30440,3,Freelancer,Under-Graduate,Mortgage,Car,0
CUST00107,44,26292,46378,60,719.0,3.8,6.0,27384,3,Business,Graduate,Mortgage,Home,0
CUST00108,45,43412,116319,36,672.0,5.4,6.0,9590,4,Salaried,Under-Graduate,Mortgage,Car,0
CUST00109,58,16847,22033,24,692.0,3.3,13.0,17957,4,Salaried,Graduate,Mortgage,Education,0
CUST00110,56,44032,163850,24,702.0,1.6,10.0,9946,3,Salaried,Graduate,Mortgage,Personal,0
CUST00111,61,76989,193411,48,733.0,1.9,9.0,39312,0,Self-Employed,Under-Graduate,Rent,Business,0
CUST00112,43,51225,190559,24,709.0,2.2,7.0,63878,3,Salaried,Graduate,Mortgage,Business,1
CUST00113,48,31449,20832,60,746.0,2.1,6.0,28671,3,Business,PhD,Own,Home,0
CUST00114,56,59525,101141,48,524.0,3.8,11.0,86355,4,Business,Graduate,Rent,Home,1
CUST00115,22,57757,33489,60,660.0,1.4,10.0,21857,5,Self-Employed,Under-Graduate,Mortgage,Home,0
CUST00116,56,94132,136762,36,646.0,3.6,7.0,130006,2,Business,PhD,Rent,Home,0
CUST00117,58,70814,249054,48,662.0,12.4,3.0,68185,3,Salaried,Post-Graduate,Mortgage,Business,0
CUST00118,35,61111,38385,36,,2.6,12.0,33846,5,Salaried,Graduate,Rent,Business,0
CUST00119,24,73101,148140,48,660.0,1.3,2.0,86272,4,Self-Employed,Graduate,Own,Car,0
CUST00120,22,52312,47681,48,657.0,2.1,10.0,74926,3,Salaried,Under-Graduate,Own,Home,0
CUST00121,26,53491,104785,36,687.0,10.5,7.0,62549,1,Salaried,Graduate,Rent,Business,0
CUST00122,47,88178,302977,36,529.0,,,856,2,Salaried,Post-Graduate,Own,Education,0
CUST00123,35,22288,59748,60,774.0,10.9,13.0,343,4,Business,Graduate,Rent,Home,0
CUST00124,60,74358,228922,60,641.0,1.7,4.0,14072,1,Self-Employed,Under-Graduate,Rent,Business,0
CUST00125,48,52784,90886,48,768.0,2.5,11.0,67357,1,Self-Employed,Post-Graduate,Rent,Car,0
CUST00126,30,49170,187111,12,581.0,18.4,2.0,55334,4,Salaried,Graduate,Rent,Education,0
CUST00127,36,43942,131053,24,577.0,2.0,5.0,42169,4,Business,Under-Graduate,Rent,Car,1
CUST00128,36,58073,114769,60,631.0,0.7,12.0,60498,5,Business,PhD,Rent,Car,0
CUST00129,47,54129,107858,12,652.0,1.7,5.0,50324,1,Salaried,Under-Graduate,Rent,Home,0
CUST00130,63,46705,173527,24,609.0,16.6,11.0,24371,4,Salaried,Post-Graduate,Mortgage,Home,0
CUST00131,34,40946,103078,24,585.0,2.7,13.0,44249,1,Salaried,Under-Graduate,Own,Business,1
CUST00132,53,16893,50211,36,679.0,13.6,10.0,23694,0,Salaried,Graduate,Rent,Home,1
CUST00133,60,40523,79409,36,765.0,0.5,10.0,45568,2,Business,Under-Graduate,Own,Car,0
CUST00134,53,44754,57416,24,782.0,7.3,1.0,58222,0,Business,Graduate,Rent,Personal,0
CUST00135,25,58024,175955,24,626.0,0.5,4.0,20641,5,Salaried,Post-Graduate,Mortgage,Business,0
CUST00136,51,94261,247659,48,563.0,1.1,3.0,49385,1,Salaried,Graduate,Own,Education,0
CUST00137,58,42680,96230,60,628.0,4.8,7.0,32505,5,Self-Employed,Graduate,Own,Business,0
CUST00138,44,34525,92667,12,786.0,2.9,5.0,24417,4,Salaried,Post-Graduate,Own,Personal,0
CUST00139,60,40710,50032,24,732.0,5.5,6.0,28455,3,Salaried,Post-Graduate,Rent,Personal,0
CUST00140,36,58066,190385,36,680.0,18.1,2.0,55791,2,Business,Post-Graduate,Mortgage,Car,0
CUST00141,64,66772,254973,48,612.0,0.3,1.0,85674,4,Salaried,Graduate,Own,Car,0
CUST00142,50,69566,251749,48,,1.1,3.0,92574,4,Salaried,PhD,Rent,Business,0
CUST00143,57,71554,116277,48,831.0,5.1,10.0,16153,1,Salaried,PhD,Own,Car,0
CUST00144,34,74384,142893,60,,11.3,3.0,10058,1,Salaried,Graduate,Mortgage,Home,0
CUST00145,53,49422,164546,24,492.0,8.0,10.0,23071,2,Self-Employed,Post-Graduate,Rent,Home,0
CUST00146,28,96062,248119,24,567.0,3.1,,106229,5,Salaried,Post-Graduate,Own,Education,0
CUST00147,43,47904,115817,36,655.0,,11.0,57014,1,Business,Graduate,Own,Education,0
CUST00148,49,57186,214061,48,637.0,1.2,7.0,32877,2,Self-Employed,Under-Graduate,Mortgage,Education,1
CUST00149,23,80916,192263,36,758.0,0.1,10.0,37680,3,Salaried,Graduate,Rent,Car,0
CUST00150,63,66328,152705,60,602.0,4.2,14.0,12983,3,Salaried,Post-Graduate,Mortgage,Car,0
CUST00151,27,15000,9705,48,636.0,8.4,6.0,5360,5,Salaried,Under-Graduate,Rent,Home,1
CUST00152,49,55112,40945,48,598.0,2.8,14.0,8330,3,Business,Graduate,Mortgage,Business,0
CUST00153,49,72239,37995,12,712.0,4.2,14.0,32924,0,Business,Graduate,Rent,Education,0
CUST00154,41,28130,103978,24,581.0,2.7,13.0,28529,3,Salaried,Graduate,Rent,Car,1
CUST00155,51,70013,135079,48,631.0,3.6,4.0,13542,2,Self-Employed,Under-Graduate,Own,Business,0
CUST00156,32,62803,134396,24,528.0,10.8,8.0,30268,1,Self-Employed,Post-Graduate,Own,Business,0
CUST00157,49,78678,272135,12,607.0,,10.0,62388,3,Business,Post-Graduate,Own,Business,0
CUST00158,46,41161,108350,60,783.0,0.0,11.0,20196,3,Self-Employed,Under-Graduate,Mortgage,Business,0
CUST00159,60,74917,197275,60,,8.0,2.0,49397,5,Salaried,Graduate,Rent,Business,0
CUST00160,54,58192,89491,24,703.0,4.8,7.0,43370,5,Self-Employed,Under-Graduate,Own,Car,0
CUST00161,22,90321,308778,48,685.0,6.6,,104999,2,Business,Under-Graduate,Rent,Car,0
CUST00162,48,110720,119622,12,599.0,11.6,8.0,140021,4,Salaried,Graduate,Mortgage,Home,0
CUST00163,34,85766,58837,24,665.0,1.7,14.0,24750,4,Salaried,Post-Graduate,Own,Personal,0
CUST00164,62,64610,75633,36,663.0,3.5,5.0,35794,0,Business,Graduate,Mortgage,Home,0
CUST00165,24,101420,145748,48,651.0,4.6,6.0,87499,3,Self-Employed,Post-Graduate,Mortgage,Business,0
CUST00166,60,67069,99804,12,714.0,2.1,6.0,50239,2,Salaried,Graduate,Rent,Home,0
CUST00167,27,36841,104878,36,574.0,9.4,1.0,4444,2,Self-Employed,Under-Graduate,Mortgage,Personal,0
CUST00168,29,54214,68438,24,850.0,6.0,7.0,28052,1,Salaried,Graduate,Mortgage,Home,0
CUST00169,48,70233,201449,60,779.0,6.6,3.0,23969,2,Salaried,Post-Graduate,Mortgage,Personal,0
CUST00170,30,71519,58571,48,585.0,8.3,2.0,44763,2,Salaried,Graduate,Own,Personal,0
CUST00171,58,32494,32988,36,658.0,1.5,7.0,16473,5,Salaried,Graduate,Own,Home,0
CUST00172,54,33129,75563,12,602.0,6.8,10.0,34555,3,Salaried,Graduate,Rent,Personal,0
CUST00173,63,48173,179523,36,700.0,7.4,9.0,29008,2,Salaried,Graduate,Rent,Home,0
CUST00174,45,65690,230472,36,642.0,9.2,4.0,23798,5,Business,Post-Graduate,Own,Business,0
CUST00175,36,68251,265539,48,499.0,3.4,7.0,63437,0,Salaried,Post-Graduate,Own,Education,1
CUST00176,53,57826,160564,24,576.0,3.5,5.0,63049,4,Salaried,Graduate,Own,Personal,0
CUST00177,53,38311,109774,60,756.0,0.5,10.0,6221,3,Business,Under-Graduate,Own,Education,0
CUST00178,45,89738,241178,36,632.0,9.6,10.0,33818,4,Salaried,Under-Graduate,Mortgage,Home,0
CUST00179,62,33558,89930,24,631.0,3.8,11.0,10510,3,Business,PhD,Mortgage,Home,0
CUST00180,33,81046,82255,36,703.0,4.5,,24445,4,Salaried,Graduate,Mortgage,Car,0
CUST00181,60,69776,167677,36,725.0,0.6,1.0,94405,5,Business,Graduate,Mortgage,Education,0
CUST00182,23,80606,149220,60,642.0,4.6,11.0,15237,0,Salaried,Graduate,Mortgage,Personal,0
CUST00183,24,46111,94475,48,476.0,0.2,13.0,60253,4,Self-Employed,Under-Graduate,Mortgage,Education,1
CUST00184,58,52146,121635,36,585.0,12.8,10.0,30810,4,Salaried,Post-Graduate,Own,Personal,0
CUST00185,38,56100,53260,24,478.0,10.0,9.0,53923,2,Business,Graduate,Rent,Personal,1
CUST00186,23,45472,79949,24,538.0,1.1,6.0,30076,1,Self-Employed,Graduate,Rent,Home,0
CUST00187,23,59505,42966,36,656.0,4.5,8.0,53442,1,Salaried,Post-Graduate,Rent,Personal,0
CUST00188,49,86581,340162,48,653.0,4.6,9.0,71644,5,Salaried,Graduate,Rent,Car,0
CUST00189,44,29063,26588,48,752.0,8.1,1.0,18874,5,Salaried,Post-Graduate,Mortgage,Personal,0
CUST00190,58,41855,58799,24,647.0,7.1,5.0,17266,0,Salaried,Graduate,Own,Personal,0
CUST00191,53,39685,143640,24,579.0,25.0,12.0,55412,5,Salaried,Graduate,Own,Home,0
CUST00192,54,53111,116285,36,746.0,2.2,7.0,72971,1,Salaried,PhD,Mortgage,Business,0
CUST00193,22,52289,50967,60,790.0,0.7,12.0,5577,0,Salaried,Graduate,Mortgage,Car,0
CUST00194,40,70446,129959,36,723.0,4.3,12.0,23619,0,Salaried,Graduate,Mortgage,Education,0
CUST00195,23,55674,50414,36,644.0,7.2,11.0,47940,5,Salaried,Under-Graduate,Mortgage,Education,0
CUST00196,47,61057,73314,36,625.0,1.7,8.0,89794,1,Salaried,Under-Graduate,Rent,Personal,0
CUST00197,53,62968,42950,24,554.0,1.3,3.0,68708,5,Self-Employed,Post-Graduate,Mortgage,Business,1
CUST00198,27,59908,121840,36,586.0,8.1,8.0,73537,4,Salaried,Post-Graduate,Mortgage,Personal,0
CUST00199,53,69066,229521,48,614.0,7.0,5.0,32553,4,Self-Employed,Graduate,Rent,Personal,0
CUST00200,25,52553,134057,60,544.0,1.1,1.0,17256,4,Freelancer,Graduate,Own,Personal,0
CUST00201,32,87927,230562,36,623.0,10.2,4.0,29802,4,Salaried,Graduate,Mortgage,Business,0
CUST00202,38,105832,127214,24,627.0,0.7,2.0,76720,1,Self-Employed,Graduate,Own,Home,0
CUST00203,59,69124,117761,48,751.0,0.6,12.0,89012,5,Salaried,Post-Graduate,Own,Education,0
CUST00204,45,59559,205975,48,520.0,2.2,5.0,19330,0,Business,Graduate,Mortgage,Home,0
CUST00205,26,67491,54498,12,663.0,10.9,4.0,57737,3,Self-Employed,Graduate,Mortgage,Personal,0
CUST00206,55,32979,115517,60,,,2.0,40009,0,Salaried,Post-Graduate,Mortgage,Personal,1
CUST00207,27,58602,128509,48,493.0,2.5,7.0,43982,0,Salaried,Graduate,Own,Car,0
CUST00208,43,40373,138480,36,610.0,0.9,2.0,25247,3,Business,PhD,Mortgage,Home,1
CUST00209,32,65199,105167,36,651.0,6.2,2.0,33890,2,Self-Employed,Graduate,Rent,Personal,0
CUST00210,37,40472,68233,48,751.0,4.6,13.0,36452,2,Salaried,Under-Graduate,Own,Car,0
CUST00211,54,48104,150595,48,628.0,22.0,4.0,59001,4,Salaried,Post-Graduate,Rent,Car,0
CUST00212,30,17560,57025,12,606.0,7.3,5.0,26238,5,Self-Employed,Graduate,Mortgage,Education,1
CUST00213,27,31535,41113,24,593.0,0.5,14.0,41122,1,Salaried,Under-Graduate,Own,Home,0
CUST00214,37,62097,242491,24,608.0,6.5,10.0,42171,2,Salaried,Graduate,Rent,Car,0
CUST00215,50,37623,29937,48,368.0,1.5,12.0,4471,3,Freelancer,Under-Graduate,Rent,Car,1
CUST00216,24,76275,56425,36,584.0,16.3,11.0,13790,2,Salaried,Under-Graduate,Mortgage,Personal,0
CUST00217,41,35922,92831,36,714.0,0.1,13.0,1580,1,Salaried,Under-Graduate,Mortgage,Home,0
CUST00218,57,64065,194090,48,453.0,1.4,3.0,34851,2,Salaried,Graduate,Own,Home,1
CUST00219,40,39762,153604,36,616.0,3.5,14.0,28721,5,Self-Employed,Graduate,Rent,Business,1
CUST00220,47,62709,120232,48,626.0,0.4,11.0,77189,0,Salaried,Under-Graduate,Own,Home,0
CUST00221,24,24304,14303,36,707.0,2.1,9.0,3125,0,Salaried,Graduate,Mortgage,Business,0
CUST00222,40,45936,119899,36,659.0,3.4,10.0,15718,0,Business,Post-Graduate,Rent,Car,1
CUST00223,41,38075,57643,36,683.0,3.0,6.0,29164,0,Business,Post-Graduate,Own,Home,0
CUST00224,53,72664,146440,60,590.0,3.1,11.0,92622,0,Salaried,Graduate,Own,Car,0
CUST00225,28,64245,141958,48,509.0,10.6,8.0,8445,4,Business,Under-Graduate,Own,Business,1
CUST00226,62,30348,22026,12,607.0,3.5,5.0,11081,4,Freelancer,Graduate,Rent,Home,1
CUST00227,54,50936,112106,60,638.0,14.2,8.0,41556,4,Freelancer,Graduate,Own,Home,0
CUST00228,61,39553,78794,48,742.0,0.8,10.0,19244,3,Business,Under-Graduate,Mortgage,Home,0
CUST00229,60,74005,221563,24,535.0,1.6,6.0,110163,5,Salaried,Graduate,Rent,Car,1
CUST00230,39,80430,221973,12,817.0,5.3,7.0,54547,3,Self-Employed,Under-Graduate,Mortgage,Personal,0
CUST00231,61,26167,30046,36,663.0,1.7,2.0,35771,4,Salaried,Post-Graduate,Mortgage,Home,0
CUST00232,22,71534,87377,36,589.0,2.1,6.0,100958,2,Salaried,Under-Graduate,Mortgage,Personal,0
CUST00233,32,38534,53119,36,584.0,11.6,5.0,14995,1,Salaried,Graduate,Rent,Personal,0
CUST00234,49,49941,56249,24,637.0,3.9,12.0,24458,0,Business,Post-Graduate,Own,Education,0
CUST00235,46,55645,155819,36,644.0,2.0,8.0,27054,5,Freelancer,Graduate,Mortgage,Home,0
CUST00236,44,91332,363547,24,651.0,7.5,5.0,59773,5,Salaried,Graduate,Own,Business,0
CUST00237,52,34923,97169,12,701.0,0.4,7.0,3308,2,Salaried,Under-Graduate,Rent,Business,0
CUST00238,51,71694,188080,36,597.0,4.1,4.0,86823,4,Business,Graduate,Own,Home,0
CUST00239,63,31569,61078,36,658.0,0.5,2.0,6196,1,Self-Employed,Post-Graduate,Mortgage,Business,1
CUST00240,56,30188,48120,36,623.0,1.0,13.0,40466,4,Self-Employed,Graduate,Mortgage,Personal,0
CUST00241,28,55569,204980,60,781.0,0.3,11.0,48060,4,Salaried,Under-Graduate,Own,Home,0
CUST00242,37,55434,215721,24,505.0,11.6,13.0,40036,5,Salaried,Post-Graduate,Rent,Home,1
CUST00243,47,15000,33580,12,821.0,0.2,3.0,14867,5,Salaried,Under-Graduate,Own,Business,0
CUST00244,23,78191,118514,12,579.0,3.6,11.0,109440,5,Salaried,Graduate,Rent,Education,0
CUST00245,22,15000,47931,36,563.0,1.3,10.0,6675,3,Business,Under-Graduate,Mortgage,Personal,1
CUST00246,33,52081,50185,48,626.0,2.4,12.0,21107,5,Salaried,Graduate,Own,Education,0
CUST00247,26,81552,259299,36,667.0,3.4,4.0,45246,2,Freelancer,Post-Graduate,Own,Personal,0
CUST00248,58,99183,333881,36,620.0,3.0,3.0,72424,0,Business,Graduate,Own,Car,0
CUST00249,53,47739,44739,36,697.0,6.9,7.0,5421,2,Self-Employed,Graduate,Mortgage,Home,0
CUST00250,30,26341,103230,36,,12.1,12.0,26867,3,Salaried,Post-Graduate,Own,Car,0
CUST00251,62,80810,319142,36,598.0,1.8,5.0,63140,5,Self-Employed,Graduate,Own,Car,0
CUST00252,56,72303,273198,36,576.0,0.1,3.0,58556,4,Salaried,Graduate,Own,Car,0
CUST00253,40,45220,101117,24,750.0,11.2,3.0,16933,3,Salaried,Graduate,Mortgage,Home,0
CUST00254,37,42685,58105,48,,19.3,,53821,5,Salaried,Graduate,Rent,Car,0
CUST00255,24,40652,103135,36,557.0,2.8,13.0,24272,4,Salaried,Under-Graduate,Own,Personal,0
CUST00256,41,48108,94761,24,613.0,3.0,12.0,47068,3,Salaried,Graduate,Rent,Education,0
CUST00257,45,61321,74861,36,544.0,0.8,12.0,22081,2,Salaried,Graduate,Own,Home,0
