age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_credit_lines,existing_debt,num_dependents,debt_to_income_ratio,loan_to_income_ratio,monthly_emi_burden,emi_to_monthly_income,credit_tier,income_tier,age_group,financial_stress,employment_type_Freelancer,employment_type_Salaried,employment_type_Self-Employed,education_PhD,education_Post-Graduate,education_Under-Graduate,property_ownership_Own,property_ownership_Rent,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal
40,94828,201214,48,652.0,0.2,10.0,44792,0,0.4723,2.1219,4191.96,0.5305,3,3,3,0.9846,False,False,True,False,False,False,False,False,False,False,False,False
25,77775,150697,36,710.0,4.9,13.0,34770,3,0.4471,1.9376,4186.03,0.6459,4,3,1,0.9539,False,True,False,False,False,False,False,True,False,False,False,True
46,49119,144624,24,653.0,2.1,10.0,69056,4,1.4059,2.9444,6026.0,1.4722,3,2,4,1.8873,False,False,True,False,False,False,True,False,False,False,False,False
23,86580,282326,48,713.0,9.2,13.0,103448,3,1.1948,3.2609,5881.79,0.8152,4,3,1,1.7008,False,False,True,False,False,False,False,False,False,False,False,True
63,28844,102783,60,620.0,3.5,4.0,21142,1,0.733,3.5634,1713.05,0.7127,2,2,5,1.576,False,True,False,False,False,True,True,False,False,False,True,False
29,62709,209382,36,644.0,2.7,2.0,93208,0,1.4864,3.3389,5816.17,1.113,3,3,2,1.9301,False,True,False,False,False,True,False,True,False,False,False,True
27,56416,139768,60,639.0,8.3,12.0,78721,0,1.3954,2.4775,2329.47,0.4955,3,3,2,1.4501,False,True,False,False,False,True,False,True,False,True,False,False
24,65230,44433,36,617.0,0.6,14.0,68321,1,1.0474,0.6812,1234.25,0.2271,2,3,1,0.6915,False,True,False,False,False,False,False,False,False,False,False,True
63,60074,180849,36,654.0,4.4,14.0,89645,4,1.4922,3.0104,5023.58,1.0035,3,3,5,1.801,False,True,False,False,False,False,False,False,False,False,False,True
51,58514,128223,48,579.0,7.1,13.0,45979,3,0.7858,2.1913,2671.31,0.5478,2,3,4,1.136,False,True,False,False,False,True,False,False,False,False,False,True
41,48944,53199,48,665.0,2.1,8.0,36445,0,0.7446,1.0869,1108.31,0.2717,3,2,3,0.7054,False,False,True,False,False,True,False,False,True,False,False,False
47,56256,141007,36,648.0,1.2,8.0,77610,1,1.3796,2.5065,3916.86,0.8355,3,3,4,1.5544,False,False,False,False,True,False,True,False,True,False,False,False
29,51779,147182,36,700.0,8.1,1.0,28343,4,0.5474,2.8425,4088.39,0.9475,4,3,2,1.356,False,False,False,False,False,False,False,True,True,False,False,False
62,15000,48673,36,646.0,9.2,9.0,3803,1,0.2535,3.2449,1352.03,1.0816,3,1,5,1.3993,False,True,False,False,False,False,True,False,False,True,False,False
35,63471,190276,12,724.0,5.6,13.0,24161,0,0.3807,2.9978,15856.33,2.9978,4,3,2,1.951,False,True,False,False,False,False,False,False,False,False,True,False
51,55867,81762,36,690.0,1.3,9.0,80713,4,1.4447,1.4635,2271.17,0.4878,4,3,4,1.1633,False,True,False,False,True,False,False,False,False,False,True,False
54,70150,98816,36,627.0,0.4,8.0,56672,5,0.8079,1.4086,2744.89,0.4695,3,3,4,0.8866,False,False,False,False,False,True,False,False,False,False,False,True
42,63370,89156,36,630.0,0.5,10.0,53392,2,0.8425,1.4069,2476.56,0.469,3,3,3,0.8998,True,False,False,False,False,False,False,True,True,False,False,False
23,65165,61713,36,820.0,0.6,12.0,13032,0,0.2,0.947,1714.25,0.3157,5,3,1,0.4588,False,True,False,False,False,True,False,False,False,True,False,False
36,18645,45934,36,649.0,9.9,1.0,10882,3,0.5836,2.4636,1275.94,0.8212,3,1,3,1.2189,False,True,False,False,False,False,True,False,False,False,False,True
60,48941,119894,12,568.0,3.4,13.0,61688,5,1.2605,2.4498,9991.17,2.4498,2,2,5,1.9741,False,True,False,False,False,False,True,False,False,False,False,True
28,22405,68350,60,641.0,0.6,8.0,8886,0,0.3966,3.0507,1139.17,0.6101,3,1,2,1.2569,False,False,True,False,False,True,True,False,False,False,False,False
59,60805,179402,12,575.0,0.7,9.0,360,3,0.0059,2.9504,14950.17,2.9504,2,3,5,1.7726,False,False,True,False,False,True,True,False,False,False,False,False
26,71818,244332,36,633.0,1.9,13.0,92469,3,1.2875,3.4021,6787.0,1.134,3,3,2,1.8758,False,True,False,False,True,False,False,False,False,False,False,True
51,75893,277522,24,714.0,7.0,6.0,100064,2,1.3185,3.6568,11563.42,1.8284,4,3,4,2.173,False,False,True,False,True,False,False,False,False,True,False,False
33,55877,128339,36,724.0,4.2,7.0,8654,2,0.1549,2.2968,3564.97,0.7656,4,3,2,0.9807,False,False,False,False,True,False,True,False,False,False,False,False
38,15120,21599,60,670.0,0.9,9.0,5902,3,0.3903,1.4285,359.98,0.2857,3,1,3,0.6704,False,False,True,True,False,False,True,False,False,False,True,False
52,47696,181557,36,505.0,5.8,8.0,57848,5,1.2128,3.8065,5043.25,1.2688,1,2,4,2.0077,False,False,False,False,False,True,False,True,False,False,True,False
29,52488,108201,24,734.0,4.2,5.0,20755,0,0.3954,2.0614,4508.38,1.0307,4,3,2,1.0858,False,True,False,False,False,False,True,False,False,False,False,True
53,107936,357339,36,706.0,3.0,12.0,159814,5,1.4806,3.3107,9926.08,1.1036,4,4,4,1.9165,False,True,False,False,False,False,False,True,True,False,False,False
26,33608,57721,36,577.0,16.0,14.0,7640,5,0.2273,1.7175,1603.36,0.5725,2,2,2,0.7779,False,True,False,False,False,True,False,False,False,True,False,False
48,33606,53145,60,716.0,14.7,10.0,25853,0,0.7693,1.5814,885.75,0.3163,4,2,4,0.877,False,False,True,False,False,False,False,True,False,False,False,False
24,68693,194560,36,574.0,0.2,12.0,55575,0,0.809,2.8323,5404.44,0.9441,2,3,1,1.4565,False,True,False,False,True,False,False,True,True,False,False,False
57,27905,52887,60,651.0,3.1,9.0,39140,5,1.4026,1.8953,881.45,0.3791,3,2,5,1.2434,False,True,False,False,False,False,False,False,False,True,False,False
39,34647,57436,24,530.0,3.6,13.0,930,3,0.0268,1.6577,2393.17,0.8289,1,2,3,0.7567,False,False,False,False,False,True,True,False,False,False,True,False
58,34302,125836,36,750.0,0.9,14.0,8687,5,0.2533,3.6685,3495.44,1.2228,4,2,5,1.5687,False,False,True,False,False,True,True,False,False,False,False,False
41,28113,53238,60,808.0,16.4,2.0,16490,4,0.5866,1.8937,887.3,0.3787,5,2,3,0.9164,False,True,False,False,False,False,True,False,False,False,False,False
24,34175,58699,36,785.0,1.1,13.0,20887,2,0.6112,1.7176,1630.53,0.5725,5,2,1,0.9315,False,False,True,False,False,False,True,False,False,False,False,False
62,53157,128173,36,643.0,2.4,7.0,69819,1,1.3134,2.4112,3560.36,0.8037,3,3,5,1.4898,False,True,False,False,False,False,False,False,True,False,False,False
60,36955,80220,24,638.0,13.7,13.0,17136,4,0.4637,2.1707,3342.5,1.0854,3,2,5,1.1623,False,False,False,False,False,False,False,False,False,True,False,False
50,22720,51080,60,706.0,19.0,7.0,5610,1,0.2469,2.2482,851.33,0.4496,4,1,4,0.9081,False,True,False,False,False,False,False,True,True,False,False,False
59,38206,133717,24,685.0,2.4,11.0,23382,3,0.612,3.4999,5571.54,1.7499,4,2,5,1.8197,False,True,False,False,False,True,False,False,False,True,False,False
54,36731,35258,24,774.0,6.7,11.0,41011,1,1.1165,0.9599,1469.08,0.4799,5,2,4,0.8785,False,True,False,False,True,False,False,True,True,False,False,False
49,70102,153667,48,615.0,3.1,5.0,105089,0,1.4991,2.192,3201.4,0.548,2,3,4,1.4216,False,False,False,False,False,False,True,False,True,False,False,False
54,57912,228390,12,636.0,1.5,8.0,54848,0,0.9471,3.9437,19032.5,3.9437,3,3,4,2.7451,True,False,False,False,False,True,False,True,False,False,False,False
40,64440,144664,36,649.0,9.9,10.0,18313,5,0.2842,2.2449,4018.44,0.7483,3,3,3,1.0116,False,True,False,False,True,False,True,False,True,False,False,False
50,67450,260918,48,531.0,0.9,10.0,52409,3,0.777,3.8683,5435.79,0.9671,1,3,4,1.7614,False,False,True,False,False,True,True,False,False,False,False,True
42,71214,146149,36,625.0,6.9,5.0,63020,5,0.8849,2.0523,4059.69,0.6841,3,3,3,1.1749,False,False,True,False,True,False,False,False,False,True,False,False
57,42070,166944,24,637.0,0.6,3.0,4710,3,0.112,3.9682,6956.0,1.9841,3,2,5,1.8305,False,True,False,True,False,False,False,True,True,False,False,False
36,61584,52895,36,594.0,2.6,1.0,51586,5,0.8377,0.8589,1469.31,0.2863,2,3,3,0.6786,False,False,True,False,False,False,False,True,False,False,False,True
56,57675,54858,36,623.0,0.2,8.0,65363,2,1.1333,0.9512,1523.83,0.3171,3,3,5,0.8338,True,False,False,False,False,False,True,False,False,False,True,False
52,15000,38462,48,823.0,2.9,14.0,17175,0,1.145,2.5641,801.29,0.641,5,1,4,1.4195,False,True,False,False,True,False,True,False,True,False,False,False
58,33647,39953,60,659.0,7.3,11.0,7363,3,0.2188,1.1874,665.88,0.2375,3,2,5,0.515,False,True,False,False,False,False,True,False,False,False,False,True
44,56186,142196,12,495.0,6.1,3.0,40007,2,0.712,2.5308,11849.67,2.5308,1,3,3,1.8033,False,False,True,False,False,True,True,False,False,False,False,False
42,26181,69335,36,545.0,3.5,8.0,4609,4,0.176,2.6483,1925.97,0.8828,1,2,3,1.1297,False,False,False,False,True,False,False,False,False,False,False,False
48,63502,155794,36,728.0,2.0,7.0,1341,1,0.0211,2.4534,4327.61,0.8178,4,3,4,0.9898,False,True,False,False,True,False,False,True,False,False,True,False
48,55806,40295,24,595.0,6.8,12.0,7112,1,0.1274,0.7221,1678.96,0.361,2,3,4,0.3759,False,False,True,False,True,False,False,True,False,False,False,True
42,72758,214888,36,718.0,3.0,5.0,104975,3,1.4428,2.9535,5969.11,0.9845,4,3,3,1.7585,False,False,False,True,False,False,False,False,False,False,False,True
34,71272,198905,36,657.0,4.9,3.0,13232,2,0.1857,2.7908,5525.14,0.9303,3,3,2,1.1906,False,True,False,False,False,False,True,False,False,False,False,True
45,75167,185052,24,561.0,2.9,11.0,45165,0,0.6009,2.4619,7710.5,1.2309,2,3,3,1.3482,True,False,False,False,False,False,False,True,False,False,False,True
59,94200,227623,48,635.0,11.7,8.0,27609,5,0.2931,2.4164,4742.15,0.6041,3,3,5,1.0234,False,True,False,False,False,False,True,False,False,False,True,False
24,50626,131664,24,575.0,4.2,9.0,19167,1,0.3786,2.6007,5486.0,1.3004,2,3,1,1.3218,False,False,False,False,False,False,True,False,False,False,False,False
57,58743,110070,24,673.0,7.9,8.0,44399,4,0.7558,1.8738,4586.25,0.9369,3,3,5,1.1455,False,True,False,False,True,False,False,True,False,False,True,False
42,34276,124150,12,715.0,2.0,8.0,24078,0,0.7025,3.6221,10345.83,3.6221,4,2,3,2.4543,False,False,False,False,False,False,False,True,False,False,False,False
27,15000,44431,48,624.0,3.5,5.0,4769,4,0.3179,2.9621,925.65,0.7405,3,1,2,1.2379,False,True,False,False,False,True,False,False,False,False,False,False
53,64752,101344,60,718.0,9.9,7.0,2007,3,0.031,1.5651,1689.07,0.313,4,3,4,0.5758,False,False,True,False,False,False,False,True,True,False,False,False
44,50538,67235,36,631.0,14.1,3.0,27365,0,0.5415,1.3304,1867.64,0.4435,3,3,3,0.7488,False,True,False,False,False,False,True,False,False,False,False,False
26,47714,76641,36,495.0,10.2,9.0,14247,0,0.2986,1.6063,2128.92,0.5354,1,2,2,0.7619,False,True,False,False,False,False,False,True,False,False,True,False
27,51180,185919,36,584.0,3.3,10.0,10449,5,0.2042,3.6326,5164.42,1.2109,2,3,2,1.5347,False,True,False,False,True,False,False,False,True,False,False,False
45,46056,169362,36,514.0,0.7,14.0,15309,2,0.3324,3.6773,4704.5,1.2258,1,2,3,1.6039,False,True,False,False,True,False,False,True,False,True,False,False
45,42234,89029,36,510.0,2.8,3.0,39789,2,0.9421,2.108,2473.03,0.7027,1,2,3,1.22,False,True,False,False,False,False,False,True,False,False,False,False
50,15000,43251,24,580.0,9.3,14.0,18777,2,1.2518,2.8834,1802.12,1.4417,2,1,4,1.7982,False,False,False,False,False,False,False,True,False,False,False,True
63,33150,55748,24,643.0,1.7,13.0,19820,0,0.5979,1.6817,2322.83,0.8408,3,2,5,0.9959,False,True,False,False,False,False,False,True,False,False,False,True
50,74081,272652,36,801.0,0.0,2.0,35210,1,0.4753,3.6805,7573.67,1.2268,5,3,4,1.6623,False,True,False,False,True,False,False,True,False,True,False,False
46,81476,52342,36,679.0,28.3,5.0,61796,5,0.7585,0.6424,1453.94,0.2141,3,3,4,0.5604,False,False,True,False,False,True,False,False,True,False,False,False
63,59372,93613,12,619.0,5.5,9.0,72624,2,1.2232,1.5767,7801.08,1.5767,2,3,5,1.4353,False,False,True,True,False,False,False,True,False,False,False,True
59,69251,43321,36,580.0,8.8,8.0,2712,3,0.0392,0.6256,1203.36,0.2085,2,3,5,0.2659,False,True,False,False,False,False,False,False,False,False,False,False
24,24373,19638,60,615.0,6.9,9.0,2033,3,0.0834,0.8057,327.3,0.1611,2,1,1,0.3234,False,False,True,False,False,False,False,False,False,False,False,False
62,32805,73621,36,608.0,8.0,2.0,19997,0,0.6096,2.2442,2045.03,0.7481,2,2,5,1.1415,False,True,False,False,False,False,False,False,False,True,False,False
59,33195,72498,12,511.0,3.8,8.0,9664,1,0.2911,2.184,6041.5,2.184,1,2,5,1.4268,False,True,False,False,False,False,True,False,False,False,True,False
36,27600,33348,12,574.0,0.6,8.0,33790,2,1.2243,1.2083,2779.0,1.2083,2,2,3,1.2147,False,False,True,False,False,True,False,True,False,False,True,False
30,63753,227749,36,850.0,1.9,3.0,58915,5,0.9241,3.5724,6326.36,1.1908,5,3,2,1.7986,False,True,False,False,True,False,False,False,False,False,False,True
44,42138,145085,36,682.0,1.5,2.0,44657,1,1.0598,3.4431,4030.14,1.1477,4,2,3,1.8012,False,True,False,False,False,False,True,False,True,False,False,False
52,78263,148032,12,690.0,5.2,4.0,82158,5,1.0498,1.8915,12336.0,1.8915,4,3,4,1.5548,False,True,False,False,True,False,False,False,True,False,False,False
63,66328,152705,60,602.0,4.2,14.0,12983,3,0.1957,2.3023,2545.08,0.4605,2,3,5,0.9071,False,True,False,False,True,False,False,False,True,False,False,False
52,55992,217186,48,655.0,5.5,7.0,30676,0,0.5479,3.8789,4524.71,0.9697,3,3,4,1.6737,False,True,False,False,False,True,True,False,False,False,True,False
56,42585,31255,60,615.0,4.2,8.0,16292,1,0.3826,0.7339,520.92,0.1468,2,2,5,0.4173,False,True,False,False,True,False,False,False,False,False,True,False
56,60496,237203,24,603.0,12.7,14.0,69227,2,1.1443,3.921,9883.46,1.9605,2,3,5,2.2222,False,False,False,False,False,True,False,True,False,False,False,True
28,54695,30360,36,698.0,3.5,11.0,81107,1,1.4829,0.5551,843.33,0.185,4,3,2,0.8152,False,False,False,False,False,False,False,True,False,False,False,False
61,38741,89045,60,741.0,1.0,6.0,57766,5,1.4911,2.2985,1484.08,0.4597,4,2,5,1.4239,False,False,True,False,False,False,True,False,False,False,False,True
47,36611,125058,24,501.0,1.2,4.0,34747,2,0.9491,3.4159,5210.75,1.7079,1,2,4,1.9168,False,False,True,False,False,True,True,False,False,False,False,True
35,28279,112034,12,649.0,1.5,3.0,33574,4,1.1872,3.9617,9336.17,3.9617,3,2,2,2.8519,False,False,False,False,False,True,False,True,False,True,False,False
24,51741,57496,48,609.0,15.9,4.0,56206,1,1.0863,1.1112,1197.83,0.2778,2,3,1,0.8512,False,False,False,True,False,False,False,True,False,False,False,False
31,23443,81041,36,649.0,14.1,11.0,29579,2,1.2617,3.4569,2251.14,1.1523,3,1,2,1.8874,False,True,False,False,False,False,False,False,False,True,False,False
62,55079,172068,24,697.0,11.7,8.0,2678,0,0.0486,3.124,7169.5,1.562,4,3,5,1.4252,False,True,False,False,True,False,False,False,True,False,False,False
42,55824,82726,48,675.0,4.1,2.0,61868,3,1.1083,1.4819,1723.46,0.3705,3,3,3,0.999,False,True,False,False,False,False,False,False,False,False,False,False
49,34304,112905,48,544.0,6.4,8.0,396,1,0.0115,3.2913,2352.19,0.8228,1,2,4,1.2388,False,True,False,False,False,False,False,True,True,False,False,False
64,90233,96760,36,700.0,3.5,3.0,50316,4,0.5576,1.0723,2687.78,0.3574,4,3,5,0.6519,False,True,False,True,False,False,False,True,False,False,True,False
27,98395,85143,36,637.0,0.4,8.0,24932,2,0.2534,0.8653,2365.08,0.2884,3,3,2,0.4475,False,False,False,False,False,False,False,False,False,True,False,False
50,59417,89221,48,621.0,7.2,7.0,35407,3,0.5959,1.5016,1858.77,0.3754,3,3,4,0.8015,False,False,True,False,False,False,True,False,False,False,False,False
40,48566,117145,60,544.0,0.1,5.0,69079,0,1.4224,2.4121,1952.42,0.4824,1,2,3,1.4373,False,True,False,False,False,True,True,False,False,False,False,False
49,90329,246652,48,680.0,12.8,8.0,42979,3,0.4758,2.7306,5138.58,0.6826,3,3,4,1.2143,False,False,False,False,False,True,False,False,False,False,False,True
40,51365,49230,24,649.0,7.6,8.0,18690,1,0.3639,0.9584,2051.25,0.4792,3,3,3,0.5768,False,False,True,False,False,True,False,True,False,False,True,False
60,15000,36808,12,643.0,1.4,3.0,18873,1,1.2582,2.4539,3067.33,2.4539,3,1,5,1.9756,False,True,False,False,False,True,False,False,False,False,False,True
33,23934,47749,36,641.0,0.2,11.0,33116,0,1.3836,1.995,1326.36,0.665,3,1,2,1.3514,False,True,False,False,True,False,False,True,False,False,False,False
58,16470,36848,36,569.0,4.7,3.0,8060,5,0.4894,2.2373,1023.56,0.7458,2,1,5,1.0907,False,False,True,True,False,False,False,False,True,False,False,False
23,64895,237517,48,580.0,2.2,6.0,48943,4,0.7542,3.66,4948.27,0.915,2,3,1,1.6742,False,False,False,False,False,True,True,False,False,False,True,False
28,74367,289310,60,657.0,5.3,3.0,21070,5,0.2833,3.8903,4821.83,0.7781,3,3,2,1.5138,False,False,False,False,False,False,False,True,False,False,False,False
58,56318,219277,60,624.0,8.0,8.0,29090,4,0.5165,3.8936,3654.62,0.7787,3,3,5,1.6083,False,True,False,False,False,True,False,False,False,False,True,False
64,39339,46828,36,739.0,8.2,6.0,27871,5,0.7085,1.1904,1300.78,0.3968,4,2,5,0.7596,False,True,False,False,True,False,True,False,False,False,True,False
54,53913,209982,24,649.0,1.4,5.0,6902,0,0.128,3.8948,8749.25,1.9474,3,3,4,1.8039,False,False,True,False,False,False,False,True,True,False,False,False
61,20656,26122,36,639.0,1.1,10.0,16949,3,0.8205,1.2646,725.61,0.4215,3,1,5,0.834,False,False,False,False,False,False,False,True,True,False,False,False
27,15000,46974,36,679.0,8.6,1.0,8414,3,0.5609,3.1316,1304.83,1.0439,3,1,2,1.477,False,False,False,False,True,False,False,False,False,False,True,False
60,72336,89253,12,664.0,5.2,14.0,82237,1,1.1369,1.2339,7437.75,1.2339,3,3,5,1.1951,False,True,False,False,True,False,True,False,True,False,False,False
53,72382,260111,36,649.0,0.4,9.0,88876,3,1.2279,3.5936,7225.31,1.1979,3,3,4,1.9286,False,True,False,False,False,False,True,False,False,False,False,False
50,66033,245117,24,631.0,3.5,12.0,86879,2,1.3157,3.712,10213.21,1.856,3,3,4,2.1967,False,True,False,False,False,True,False,False,False,True,False,False
26,85275,93620,24,655.0,18.1,8.0,55109,2,0.6463,1.0979,3900.83,0.5489,3,3,2,0.7526,False,False,True,False,True,False,False,False,False,False,False,False
54,56106,28297,48,649.0,3.5,6.0,19443,5,0.3465,0.5043,589.52,0.1261,3,3,4,0.3277,False,True,False,False,False,False,False,False,False,False,False,True
47,37952,43172,36,743.0,5.6,4.0,19247,3,0.5071,1.1375,1199.22,0.3792,4,2,4,0.6578,False,True,False,False,False,True,False,True,False,False,False,False
53,39685,143640,24,579.0,25.0,12.0,55412,5,1.3963,3.6195,5985.0,1.8098,2,2,4,2.1873,False,True,False,False,False,False,True,False,False,False,True,False
28,73631,204171,48,632.0,8.7,9.0,54693,4,0.7428,2.7729,4253.56,0.6932,3,3,2,1.3369,False,True,False,False,True,False,False,True,False,False,True,False
40,27629,26743,24,742.0,1.5,5.0,27389,5,0.9913,0.9679,1114.29,0.484,4,2,3,0.8321,False,False,True,False,False,False,True,False,True,False,False,False
25,56430,90045,48,774.0,17.5,2.0,6536,4,0.1158,1.5957,1875.94,0.3989,5,3,1,0.6447,False,True,False,False,False,False,False,False,True,False,False,False
30,77856,273274,60,657.0,1.6,10.0,24517,4,0.3149,3.51,4554.57,0.702,3,3,2,1.3896,False,True,False,False,False,False,False,True,True,False,False,False
39,47530,96007,12,607.0,4.2,8.0,20594,5,0.4333,2.0199,8000.58,2.0199,2,2,3,1.3853,False,True,False,False,False,True,False,True,False,True,False,False
34,15519,59154,60,666.0,10.4,11.0,529,3,0.0341,3.8117,985.9,0.7623,3,1,2,1.3858,False,False,False,False,False,True,False,False,False,False,True,False
39,85131,75804,12,611.0,0.8,3.0,99148,4,1.1647,0.8904,6317.0,0.8904,2,3,3,1.0001,False,True,False,False,False,False,True,False,True,False,False,False
39,37663,103896,48,765.0,3.4,1.0,23573,4,0.6259,2.7586,2164.5,0.6896,5,2,3,1.2848,False,False,False,False,False,True,False,True,False,True,False,False
62,59435,150481,60,651.0,4.8,5.0,152,1,0.0026,2.5319,2508.02,0.5064,3,3,5,0.9125,False,False,True,False,True,False,True,False,False,False,False,True
42,69127,133837,48,605.0,2.0,3.0,60759,5,0.8789,1.9361,2788.27,0.484,2,3,3,1.0776,False,True,False,False,False,True,False,True,False,True,False,False
37,24329,49100,36,647.0,4.3,7.0,30981,3,1.2734,2.0182,1363.89,0.6727,3,1,3,1.3166,False,True,False,False,False,False,True,False,False,False,False,True
41,55428,50305,48,693.0,12.6,14.0,68339,2,1.2329,0.9076,1048.02,0.2269,4,3,3,0.8335,False,False,True,False,False,False,False,False,False,False,True,False
57,107035,292164,36,667.0,1.3,12.0,34235,2,0.3198,2.7296,8115.67,0.9099,3,4,5,1.2198,False,True,False,False,False,True,False,False,False,False,True,False
61,59668,180970,60,523.0,5.4,4.0,20619,5,0.3456,3.0329,3016.17,0.6066,1,3,5,1.2301,False,False,False,False,False,True,False,True,True,False,False,False
30,78783,51304,36,644.0,2.7,14.0,107265,3,1.3615,0.6512,1425.11,0.2171,3,3,2,0.8051,False,True,False,False,False,False,True,False,False,False,True,False
28,84967,179078,24,666.0,0.2,12.0,34325,5,0.404,2.1076,7461.58,1.0538,3,3,2,1.11,False,False,True,True,False,False,True,False,False,False,False,True
61,67331,56982,24,660.0,0.2,4.0,37045,1,0.5502,0.8463,2374.25,0.4231,3,3,5,0.6009,False,True,False,False,False,False,True,False,False,False,True,False
44,57969,53896,36,676.0,0.2,6.0,31161,5,0.5375,0.9297,1497.11,0.3099,3,3,3,0.5869,False,True,False,False,True,False,False,False,False,False,True,False
26,54544,88351,48,620.0,8.3,11.0,1900,0,0.0348,1.6198,1840.65,0.405,2,3,2,0.6214,False,True,False,False,False,False,False,False,False,False,True,False
36,72347,170538,24,583.0,2.2,5.0,76271,2,1.0542,2.3572,7105.75,1.1786,2,3,3,1.4824,False,False,True,False,True,False,False,True,False,False,True,False
60,57383,183518,24,512.0,2.2,12.0,80251,1,1.3985,3.1981,7646.58,1.5991,1,3,5,1.9986,False,False,True,False,False,False,False,False,False,False,False,True
31,59204,72605,60,549.0,12.2,12.0,8066,4,0.1362,1.2264,1210.08,0.2453,1,3,2,0.496,False,False,False,False,True,False,False,True,True,False,False,False
33,35523,41375,24,663.0,2.8,4.0,8949,5,0.2519,1.1647,1723.96,0.5824,3,2,2,0.6249,False,True,False,False,False,True,True,False,False,False,False,True
38,105149,259616,48,794.0,0.6,14.0,39184,0,0.3727,2.469,5408.67,0.6173,5,4,3,1.075,False,False,True,False,False,True,False,True,False,False,True,False
32,55238,137119,60,662.0,4.6,7.0,45396,1,0.8218,2.4823,2285.32,0.4965,3,3,2,1.2224,False,True,False,False,False,False,True,False,False,False,True,False
54,27621,49848,36,644.0,4.1,8.0,10930,0,0.3957,1.8047,1384.67,0.6016,3,2,4,0.8802,False,False,True,False,True,False,False,False,True,False,False,False
64,70339,192672,60,754.0,0.7,5.0,92327,1,1.3126,2.7392,3211.2,0.5478,5,3,5,1.5111,False,False,False,False,False,False,False,True,False,False,True,False
31,36777,37253,60,831.0,8.3,1.0,30395,4,0.8265,1.0129,620.88,0.2026,5,2,2,0.6952,True,False,False,False,False,False,False,True,True,False,False,False
40,23715,48314,48,649.0,10.4,5.0,7306,1,0.3081,2.0373,1006.54,0.5093,3,1,3,0.8872,False,False,False,False,False,False,False,True,False,False,False,False
